episodeid,title,first_diffusion,doctorid
4-3,The Power of the Daleks,"5 Nov, 1966",2
4-4,The Highlanders,"17 Dec, 1966",2
4-5,The Underwater Menace,"Jan 14, 1967",2
4-6,The Moonbase,"11 Feb, 1967",2
4-7,The Macra Terror,"11 Mar, 1967",2
4-8,The Faceless Ones,"8 Apr, 1967",2
4-9,The Evil of the Daleks,"20 May, 1967",2
5-1,The Tomb of the Cybermen,"2 Sep, 1967",2
5-2,The Abominable Snowmen,"30 Sep, 1967",2
5-3,The Ice Warriors,"Nov 11, 1967",2
5-4,The Enemy of the World,"23 Dec, 1967",2
5-5,The Web of Fear,"3 Feb, 1968",2
5-6,Fury From The Deep,"16 Mar, 1968",2
5-7,The Wheel In Space,"27 Apr, 1968",2
6-1,The Dominators,"10 Aug, 1968",2
6-2,The Mind Robber,"14 Sep, 1968",2
6-3,The Invasion,"2 Nov, 1968",2
6-4,The Krotons,"28 Dec, 1968",2
6-5,The Seeds of Death,"25 Jan, 1969",2
6-6,The Space Pirates,"8 Mar, 1969",2
6-7,The War Games,"19 Apr, 1969",2
1-1,An Unearthly Child,"23 Nov, 1963",1
1-2,The Daleks,"21 Dec, 1963",1
1-3,The Edge of Destruction,"8 Feb, 1964",1
1-4,Marco Polo,"22 Feb, 1964",1
1-5,The Keys Of Marinus,"11 Apr, 1964",1
1-6,The Aztecs,"23 May, 1964",1
1-7,The Sensorites,"20 Jun, 1964",1
1-8,Reign of Terror,"12 Sep, 1964",1
2-1,Planet of Giants,"31 Oct, 1964",1
2-2,The Dalek Invasion of Earth,"21 Nov, 1964",1
2-3,The Rescue,"2 Jan, 1965",1
2-4,The Romans,"16 Jan, 1965",1
2-5,The Web Planet,"13 Feb, 1965",1
2-6,The Crusade,"28 Mar, 1965",1
2-7,The Space Museum,"24 Apr, 1965",1
2-8,The Chase,"22 May, 1965",1
2-9,The Time Meddler,"3 Jul, 1965",1
3-1,Galaxy Four,"11 Sep, 1965",1
3-1-5,Mission to the Unknown,"9 Oct, 1965",1
3-2,The Myth Makers,"16 Oct, 1965",1
3-3,The Dalek's Master Plan,"13 Nov, 1966",1
3-4,The Massacre of St Bartholomew's Eve,"5 Feb, 1966",1
3-5,The Ark,"5 Mar, 1966",1
3-6,The Celestial Toymaker,"2 Apr, 1966",1
3-7,The Gunfighters,"30 Apr, 1966",1
3-8,The Savages,"28 May, 1966",1
3-9,The War Machines,"25 Jun, 1966",1
4-1,The Smugglers,"10 Sep, 1966",1
4-2,The Tenth Planet,"8 Oct, 1966",1
19-1,Castrovalva,"4 Jan, 1982",5
